,words,weight,yes,no
899,bilge,5,18,4
900,blandness,0,2,1
901,blatant,1,1,1
902,bogus,1,1,1
903,boisterous,1,1,1
904,bolster,0,2,1
905,brash,0,2,1
906,brass,1,1,1
907,brazen,-1,3,1
908,breach,-1,3,1
909,brittle,1,1,1
910,broach,4,2,2
911,buoyant,-1,3,1
912,burnish,1,1,1
913,cadge,1,1,1
914,cajole,1,1,1
915,calipers,1,1,1
916,candid,1,1,1
917,cant,12,1,3
918,canvass,3,10,3
919,castigation,-1,3,1
920,catalyst,1,1,1
921,centurion,4,2,2
922,chary,0,2,1
923,chastened,1,1,1
924,chastisement,0,2,1
925,chauvinist,0,2,1
926,chisel,1,1,1
927,churl,5,1,2
928,clamor,1,1,1
929,clientele,1,1,1
930,clinch,1,1,1
931,cling,1,1,1
932,clot,0,2,1
933,cloture,1,1,1
934,coagulation,0,2,1
935,coalescing,1,1,1
936,coax,0,2,1
937,coddle,1,1,1
938,coerce,-2,4,1
939,coeval,1,1,1
940,cogitate,1,1,1
941,cognizant,1,1,1
942,colander,12,1,3
943,combustion,0,2,1
944,commemorate,1,1,1
945,commodious,1,1,1
946,commuter,1,1,1
947,complaisance,0,2,1
948,conceal,1,1,1
949,conceit,5,1,2
950,conciliatory,-1,3,1
951,concord,4,2,2
952,concur,-1,3,1
953,condense,1,1,1
954,congeal,1,1,1
955,conjoin,1,1,1
956,connoisseur,0,2,1
957,connotation,-1,3,1
958,consequential,1,1,1
959,console,0,2,1
960,constrain,0,2,1
961,constrict,-1,3,1
962,consume,1,1,1
963,consummate,1,1,1
964,contemn,11,2,3
965,contentious,5,1,2
966,contiguous,1,1,1
967,conviction,1,1,1
968,convoke,12,1,3
969,convoluted,0,2,1
970,cordial,1,1,1
971,cordon,4,2,2
972,corporeal,5,1,2
973,correlate,-2,4,1
974,corroboration,-1,3,1
975,counterfeit,0,2,1
976,countervail,12,1,3
977,cower,0,2,1
978,coy,0,2,1
979,crass,1,1,1
980,cravat,5,1,2
981,craven,1,1,1
982,crease,-1,3,1
983,credulity,0,2,1
984,credulous,-1,3,1
985,crush,0,2,1
986,cryptic,1,1,1
987,cumbersome,0,2,1
988,curmudgeon,1,1,1
989,curriculum,1,1,1
990,cursory,1,1,1
991,curtail,1,1,1
992,dainty,5,1,2
993,daunt,1,1,1
994,dawdler,0,2,1
995,debacle,1,1,1
996,decorum,1,1,1
997,decree,1,1,1
998,decry,1,1,1
999,defer,0,2,1
1000,deferential,0,2,1
1001,defiance,-1,3,1
1002,deluge,12,1,3
1003,demagogue,12,1,3
1004,demur,1,1,1
1005,deplete,0,2,1
1006,deposition,5,1,2
1007,deprave,1,1,1
1008,deprecate,1,1,1
1009,derision,4,2,2
1010,derivative,1,1,1
1011,derogatory,0,2,1
1012,descry,4,2,2
1013,desiccant,4,2,2
1014,deter,0,2,1
1015,detraction,1,1,1
1016,detumescence,1,1,1
1017,deviance,1,1,1
1018,dexterity,1,1,1
1019,disallow,1,1,1
1020,discern,1,1,1
1021,discomfit,1,1,1
1022,disconcert,1,1,1
1023,discountenance,1,1,1
1024,discourse,1,1,1
1025,discredit,0,2,1
1026,discreet,0,2,1
1027,discrete,1,1,1
1028,disdain,-1,3,1
1029,disencumber,1,1,1
1030,disheveled,1,1,1
1031,disingenuous,1,1,1
1032,disinter,1,1,1
1033,dislodge,-1,3,1
1034,dismal,0,2,1
1035,disparate,0,2,1
1036,disproof,1,1,1
1037,disseminate,-1,3,1
1038,dissent,0,2,1
1039,dissolution,1,1,1
1040,distraught,1,1,1
1041,divergence,-1,3,1
1042,divestiture,1,1,1
1043,doggerel,5,1,2
1044,dolt,1,1,1
1045,dormant,0,2,1
1046,dote,0,2,1
1047,drawl,1,1,1
1048,drone,0,2,1
1049,drowsiness,0,2,1
1050,dubious,1,1,1
1051,dud,5,1,2
1052,dupe,1,1,1
1053,duplicity,5,1,2
1054,duress,5,1,2
1055,dwarf,1,1,1
1056,dynamo,-2,4,1
1057,earthenware,5,1,2
1058,ebullient,1,1,1
1059,ecumenical,5,1,2
1060,edacious,12,1,3
1061,eddy,0,2,1
1062,edible,0,2,1
1063,efficacy,1,1,1
1064,effluvia,5,1,2
1065,egress,5,1,2
1066,elaborate,1,1,1
1067,elicit,0,2,1
1068,eloquence,1,1,1
1069,emaciate,1,1,1
1070,emote,1,1,1
1071,empirical,0,2,1
1072,encapsulate,1,1,1
1073,encumbrance,5,1,2
1074,endemic,0,2,1
1075,endorse,1,1,1
1076,enduring,0,2,1
1077,engrave,0,2,1
1078,engrossing,-1,3,1
1079,engulf,1,1,1
1080,enmity,1,1,1
1081,ensign,5,1,2
1082,entangle,1,1,1
1083,enthral,4,2,2
1084,entice,0,2,1
1085,entreat,1,1,1
1086,enzyme,0,2,1
1087,epicurean,1,1,1
1088,epistle,5,1,2
1089,epithet,5,1,2
1090,epitome,1,1,1
1091,equilibrium,1,1,1
1092,equipoise,5,1,2
1093,eradicate,-1,3,1
1094,erratic,1,1,1
1095,espouse,5,1,2
1096,eulogy,-1,3,1
1097,euphoria,0,2,1
1098,euthanasia,-1,3,1
1099,evasive,-1,3,1
1100,evince,1,1,1
1101,evoke,0,2,1
1102,exhaustive,0,2,1
1103,exorbitant,1,1,1
